"title","speaker","lines"
"Alexander Hamilton","BURR","How does a bastard, orphan, son of a whore and a"
"Alexander Hamilton","BURR","Scotsman, dropped in the middle of a forgotten"
"Alexander Hamilton","BURR","Spot in the Caribbean by providence, impoverished, in squalor"
"Alexander Hamilton","BURR","Grow up to be a hero and a scholar?"
"Alexander Hamilton","LAURENS","The ten-dollar Founding Father without a father"
"Alexander Hamilton","LAURENS","Got a lot farther by working a lot harder"
"Alexander Hamilton","LAURENS","By being a lot smarter"
"Alexander Hamilton","LAURENS","By being a self-starter"
"Alexander Hamilton","LAURENS","By fourteen, they placed him in charge of a trading charter"
"Alexander Hamilton","JEFFERSON","And every day while slaves were being slaughtered and carted"
"Alexander Hamilton","JEFFERSON","Away across the waves, he struggled and kept his guard up"
"Alexander Hamilton","JEFFERSON","Inside, he was longing for something to be a part of"
"Alexander Hamilton","JEFFERSON","The brother was ready to beg, steal, borrow, or barter"
"Alexander Hamilton","MADISON","Then a hurricane came, and devastation reigned"
"Alexander Hamilton","MADISON","Our man saw his future drip, dripping down the drain"
"Alexander Hamilton","MADISON","Put a pencil to his temple, connected it to his brain"
"Alexander Hamilton","MADISON","And he wrote his first refrain, a testament to his pain"
"Alexander Hamilton","BURR","Well, the word got around, they said,"
"Alexander Hamilton","BURR","""This kid is insane, man"""
"Alexander Hamilton","BURR","Took up a collection just to send him to the mainland"
"Alexander Hamilton","BURR","""Get your education, don't forget from whence you came, and"
"Alexander Hamilton","BURR","The world's gonna know your name. What's your name, man?"""
"Alexander Hamilton","HAMILTON","Alexander Hamilton"
"Alexander Hamilton","HAMILTON","My name is Alexander Hamilton"
"Alexander Hamilton","HAMILTON","And there's a million things I haven't done"
"Alexander Hamilton","HAMILTON","But just you wait, just you wait..."
"Alexander Hamilton","ELIZA","When he was ten his father split, full of it, debt-ridden"
"Alexander Hamilton","ELIZA","Two years later, see Alex and his mother bed-ridden"
"Alexander Hamilton","ELIZA","Half-dead sittin' in their own sick, the scent thick"
"Alexander Hamilton","FULL COMPANY EXCEPT HAMILTON (whispering)","And Alex got better but his mother went quick"
"Alexander Hamilton","WASHINGTON","Moved in with a cousin, the cousin committed suicide"
"Alexander Hamilton","WASHINGTON","Left him with nothin' but ruined pride, something new inside"
"Alexander Hamilton","WASHINGTON","A voice saying"
"Alexander Hamilton","WASHINGTON","""Alex, you gotta fend for yourself."""
"Alexander Hamilton","WASHINGTON","He started retreatin' and readin' every treatise on the shelf"
"Alexander Hamilton","BURR","There would have been nothin' left to do"
"Alexander Hamilton","BURR","For someone less astute"
"Alexander Hamilton","BURR","He woulda been dead or destitute"
"Alexander Hamilton","BURR","Without a cent of restitution"
"Alexander Hamilton","BURR","Started workin', clerkin' for his late mother's landlord"
"Alexander Hamilton","BURR","Tradin' sugar cane and rum and all the things he can't afford"
"Alexander Hamilton","BURR","Scammin' for every book he can get his hands on"
"Alexander Hamilton","BURR","Plannin' for the future see him now as he stands on "
"Alexander Hamilton","COMPANY","ooh"
"Alexander Hamilton","BURR","The bow of a ship headed for a new land"
"Alexander Hamilton","BURR","In New York you can be a new man"
"Alexander Hamilton","COMPANY","In New York you can be a new man "
"Alexander Hamilton","HAMILTON","Just you wait"
"Alexander Hamilton","COMPANY","In New York you can be a new man "
"Alexander Hamilton","HAMILTON","Just you wait"
"Alexander Hamilton","COMPANY","In New York you can be a new man"
"Alexander Hamilton","HAMILTON","In New York, New York"
"Alexander Hamilton","HAMILTON","Just you wait!"
"Alexander Hamilton","COMPANY","Alexander Hamilton "
"Alexander Hamilton","COMPANY","Alexander Hamilton"
"Alexander Hamilton","COMPANY","We are waiting in the wings for you "
"Alexander Hamilton","COMPANY","waiting in the wings for you"
"Alexander Hamilton","COMPANY","You could never back down"
"Alexander Hamilton","COMPANY","You never learned to take your time!"
"Alexander Hamilton","COMPANY","Oh, Alexander Hamilton "
"Alexander Hamilton","COMPANY","Alexander Hamilton"
"Alexander Hamilton","COMPANY","When America sings for you"
"Alexander Hamilton","COMPANY","Will they know what you overcame?"
"Alexander Hamilton","COMPANY","Will they know you rewrote the game?"
"Alexander Hamilton","COMPANY","The world will never be the same, oh"
"Alexander Hamilton","BURR","The ship is in the harbor now"
"Alexander Hamilton","BURR","See if you can spot him"
"Alexander Hamilton","MEN","Just you wait"
"Alexander Hamilton","BURR","Another immigrant"
"Alexander Hamilton","BURR","Comin' up from the bottom"
"Alexander Hamilton","COMPANY","Just you wait"
"Alexander Hamilton","BURR","His enemies destroyed his rep"
"Alexander Hamilton","BURR","America forgot him"
"Alexander Hamilton","MULLIGAN/MADISON & LAFAYETTE/JEFFERSON","We fought with him"
"Alexander Hamilton","LAURENS/PHILIP","Me? I died for him"
"Alexander Hamilton","WASHINGTON","Me? I trusted him"
"Alexander Hamilton","ELIZA & ANGELICA & PEGGY/MARIA","Me? I loved him"
"Alexander Hamilton","BURR","And me? I'm the damn fool that shot him"
"Alexander Hamilton","COMPANY","There's a million things I haven't done"
"Alexander Hamilton","COMPANY","But just you wait!"
"Alexander Hamilton","BURR","What's your name, man?"
"Alexander Hamilton","COMPANY","Alexander Hamilton!"
"Aaron Burr, Sir","COMPANY","1776. New York City"
"Aaron Burr, Sir","HAMILTON","Pardon me. Are you Aaron Burr, sir?"
"Aaron Burr, Sir","BURR","That depends. Who's asking?"
"Aaron Burr, Sir","HAMILTON","Oh, well, sure, sir"
"Aaron Burr, Sir","HAMILTON","I'm Alexander Hamilton, I'm at your service, sir"
"Aaron Burr, Sir","HAMILTON","I have been looking for you"
"Aaron Burr, Sir","BURR","I'm getting nervous"
"Aaron Burr, Sir","HAMILTON","Sir..."
"Aaron Burr, Sir","HAMILTON","I heard your name at Princeton. I was seeking an accelerated course of study when I got sort of out of sorts with a buddy of yours. I may have punched him. It's a blur, sir. He handles the financials?"
"Aaron Burr, Sir","BURR","You punched the bursar"
"Aaron Burr, Sir","HAMILTON","Yes!"
"Aaron Burr, Sir","HAMILTON","I wanted to do what you did. Graduate in two, then join the revolution. He looked at me like I was stupid, I'm not stupid"
"Aaron Burr, Sir","HAMILTON","So how'd you do it? How'd you graduate so fast?"
"Aaron Burr, Sir","BURR","It was my parents' dying wish before they passed"
"Aaron Burr, Sir","HAMILTON","You're an orphan. Of course! I'm an orphan"
"Aaron Burr, Sir","HAMILTON","God, I wish there was a war!"
"Aaron Burr, Sir","HAMILTON","Then we could prove that we're worth more"
"Aaron Burr, Sir","HAMILTON","Than anyone bargained for..."
"Aaron Burr, Sir","BURR","Can I buy you a drink?"
"Aaron Burr, Sir","HAMILTON","That would be nice"
"Aaron Burr, Sir","BURR","While we're talking, let me offer you some free advice"
"Aaron Burr, Sir","BURR","Talk less"
"Aaron Burr, Sir","HAMILTON","What?"
"Aaron Burr, Sir","BURR","Smile more"
"Aaron Burr, Sir","HAMILTON","Ha"
"Aaron Burr, Sir","BURR","Don't let them know what you're against or what you're for"
"Aaron Burr, Sir","HAMILTON","You can't be serious"
"Aaron Burr, Sir","BURR","You wanna get ahead?"
"Aaron Burr, Sir","HAMILTON","Yes"
"Aaron Burr, Sir","BURR","Fools who run their mouths off wind up dead"
"Aaron Burr, Sir","LAURENS","Yo yo yo yo yo!"
"Aaron Burr, Sir","LAURENS","What time is it?"
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","Show time!"
"Aaron Burr, Sir","BURR","Like I said..."
"Aaron Burr, Sir","LAURENS","Show time! Show time! Yo!"
"Aaron Burr, Sir","LAURENS","I'm John Laurens in the place to be!"
"Aaron Burr, Sir","LAURENS","Two pints o' Sam Adams, but I'm workin' on three, uh!"
"Aaron Burr, Sir","LAURENS","Those redcoats don't want it with me!"
"Aaron Burr, Sir","LAURENS","Cuz I will pop chick-a pop these cops till I'm free!"
"Aaron Burr, Sir","LAFAYETTE","Oui oui, mon ami, je m'appelle Lafayette!"
"Aaron Burr, Sir","LAFAYETTE","The Lancelot of the revolutionary set!"
"Aaron Burr, Sir","LAFAYETTE","I came from afar just to say ""Bonsoir!"""
"Aaron Burr, Sir","LAFAYETTE","Tell the King ""Casse toi!"" Who's the best?"
"Aaron Burr, Sir","MULLIGAN","Brrrah brraaah! I am Hercules Mulligan"
"Aaron Burr, Sir","MULLIGAN","Up in it, lovin' it, yes I heard ya mother said"
"Aaron Burr, Sir","MULLIGAN","""Come again?"""
"Aaron Burr, Sir","LAFAYETTE/LAURENS","Ayyyyy"
"Aaron Burr, Sir","MULLIGAN","Lock up ya daughters and horses, of course"
"Aaron Burr, Sir","MULLIGAN","It's hard to have intercourse over four sets of corsets..."
"Aaron Burr, Sir","LAFAYETTE","Wow"
"Aaron Burr, Sir","LAURENS","No more sex, pour me another brew, son!"
"Aaron Burr, Sir","LAURENS","Let's raise a couple more..."
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","To the revolution!"
"Aaron Burr, Sir","LAURENS","Well, if it ain't the prodigy of Princeton college!"
"Aaron Burr, Sir","MULLIGAN","Aaron Burr!"
"Aaron Burr, Sir","LAURENS","Give us a verse, drop some knowledge!"
"Aaron Burr, Sir","BURR","Good luck with that: you're takin' a stand"
"Aaron Burr, Sir","BURR","You spit. I'm 'a sit. We'll see where we land"
"Aaron Burr, Sir","LAFAYETTE/MULLIGAN","Boooo!"
"Aaron Burr, Sir","LAURENS","Burr, the revolution's imminent. What do you stall for?"
"Aaron Burr, Sir","HAMILTON","If you stand for nothing, Burr, what'll you fall for?"
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","Ooh"
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","Who you?"
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","Who you?"
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","Who are you?"
"Aaron Burr, Sir","LAFAYETTE/LAURENS/MULLIGAN","Ooh, who is this kid? What's he gonna do?"
"My Shot","HAMILTON","I am not throwing away my shot!"
"My Shot","HAMILTON","I am not throwing away my shot!"
"My Shot","HAMILTON","Hey yo, I'm just like my country"
"My Shot","HAMILTON","I'm young, scrappy and hungry"
"My Shot","HAMILTON","And I'm not throwing away my shot!"
"My Shot","HAMILTON","I'm 'a get a scholarship to King's College"
"My Shot","HAMILTON","I prob'ly shouldn't brag, but dag, I amaze and astonish"
"My Shot","HAMILTON","The problem is I got a lot of brains but no polish"
"My Shot","HAMILTON","I gotta holler just to be heard"
"My Shot","HAMILTON","With every word, I drop knowledge!"
"My Shot","HAMILTON","I'm a diamond in the rough, a shiny piece of coal"
"My Shot","HAMILTON","Tryin' to reach my goal. My power of speech: unimpeachable"
"My Shot","HAMILTON","Only nineteen but my mind is older"
"My Shot","HAMILTON","These New York City streets get colder, I shoulder"
"My Shot","HAMILTON","Ev'ry burden, ev'ry disadvantage"
"My Shot","HAMILTON","I have learned to manage, I don't have a gun to brandish"
"My Shot","HAMILTON","I walk these streets famished"
"My Shot","HAMILTON","The plan is to fan this spark into a flame"
"My Shot","HAMILTON","But damn, it's getting dark, so let me spell out the name"
"My Shot","HAMILTON","I am the-"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","A-L-E-X-A-N-D"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","E-R-we are-meant to be ..."
"My Shot","HAMILTON","A colony that runs independently"
"My Shot","HAMILTON","Meanwhile, Britain keeps shittin' on us endlessly"
"My Shot","HAMILTON","Essentially, they tax us relentlessly"
"My Shot","HAMILTON","Then King George turns around, runs a spending spree"
"My Shot","HAMILTON","He ain't ever gonna set his descendants free"
"My Shot","HAMILTON","So there will be a revolution in this century"
"My Shot","HAMILTON","Enter me!"
"My Shot","LAFAYETTE/MULLIGAN/LAURENS","He says in parentheses"
"My Shot","HAMILTON","Don't be shocked when your hist'ry book mentions me"
"My Shot","HAMILTON","I will lay down my life if it sets us free"
"My Shot","HAMILTON","Eventually, you'll see my ascendancy"
"My Shot","HAMILTON","And I am not throwing away"
"My Shot","HAMILTON","My shot "
"My Shot","LAURENS","my shot"
"My Shot","HAMILTON","I am not throwing away"
"My Shot","HAMILTON","My shot "
"My Shot","LAURENS","my shot"
"My Shot","LAURENS","Hey yo, I'm just like my country"
"My Shot","HAMILTON","I'm young, scrappy and hungry"
"My Shot","HAMILTON","And I'm not throwing away my shot"
"My Shot","HAMILTON","And I'm not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","I am not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","I am not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Hey yo, I'm just like my country"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","I'm young, scrappy and hungry"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","And I'm not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","It's time to take a shot!"
"My Shot","LAFAYETTE","I dream of life without a monarchy"
"My Shot","LAFAYETTE","The unrest in France will lead to 'onarchy?"
"My Shot","LAFAYETTE","Onarchy? How you say, how you say, 'anarchy?'"
"My Shot","LAFAYETTE","When I fight, I make the other side panicky"
"My Shot","LAFAYETTE","With my-"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Shot!"
"My Shot","MULLIGAN","Yo, I'm a tailor's apprentice"
"My Shot","MULLIGAN","And I got y'all knuckleheads in loco parentis"
"My Shot","MULLIGAN","I'm joining the rebellion cuz I know it's my chance"
"My Shot","MULLIGAN","To socially advance, instead of sewin' some pants!"
"My Shot","MULLIGAN","I'm gonna take a-"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Shot!"
"My Shot","LAURENS","But we'll never be truly free"
"My Shot","LAURENS","Until those in bondage have the same rights as you and me"
"My Shot","LAURENS","You and I. Do or die. Wait till I sally in"
"My Shot","LAURENS","On a stallion with the first black battalion"
"My Shot","LAURENS","Have another-"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Shot!"
"My Shot","BURR","Geniuses, lower your voices"
"My Shot","BURR","You keep out of trouble and you double your choices"
"My Shot","BURR","I'm with you, but the situation is fraught"
"My Shot","BURR","You've got to be carefully taught:"
"My Shot","BURR","If you talk, you're gonna get shot!"
"My Shot","HAMILTON","Burr, check what we got"
"My Shot","HAMILTON","Mister Lafayette, hard rock like Lancelot"
"My Shot","HAMILTON","I think your pants look hot"
"My Shot","HAMILTON","Laurens, I like you a lot"
"My Shot","HAMILTON","Let's hatch a plot blacker than the kettle callin' the pot..."
"My Shot","HAMILTON","What are the odds the gods would put us all in one spot"
"My Shot","HAMILTON","Poppin' a squat on conventional wisdom, like it or not"
"My Shot","HAMILTON","A bunch of revolutionary manumission abolitionists?"
"My Shot","HAMILTON","Give me a position, show me where the ammunition is!"
"My Shot","HAMILTON","Oh, am I talkin' too loud?"
"My Shot","HAMILTON","Sometimes I get over excited, shoot off at the mouth"
"My Shot","HAMILTON","I never had a group of friends before"
"My Shot","HAMILTON","I promise that I'll make y'all proud"
"My Shot","LAURENS","Let's get this guy in front of a crowd"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","I am not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","I am not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","Hey yo, I'm just like my country"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","I'm young, scrappy and hungry"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","And I'm not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","I am not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","I am not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","Hey yo, I'm just like my country"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","I'm young, scrappy and hungry"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","And I'm not throwing away my shot"
"My Shot","LAURENS","Ev'rybody sing:"
"My Shot","LAURENS","Whoa, whoa, whoa "
"My Shot","HAMILTON/LAFAYETTE/MULLIGAN","whoa, whoa, whoa"
"My Shot","LAURENS","Hey!"
"My Shot","LAURENS","Whoa "
"My Shot","HAMILTON/LAFAYETTE/MULLIGAN","Whoa"
"My Shot","LAURENS","Wooh!!"
"My Shot","LAURENS","Whoa! "
"My Shot","HAMILTON/LAFAYETTE/MULLIGAN","Whoa"
"My Shot","LAURENS","Said let 'em hear ya! "
"My Shot","HAMILTON/LAFAYETTE/MULLIGAN","Yea"
"My Shot","LAURENS","Let's go!"
"My Shot","COMPANY","Whoa! Whoa! Whoa!"
"My Shot","LAURENS","I said shout it to the rooftops!"
"My Shot","COMPANY","Whoa!"
"My Shot","LAURENS","Said, to the rooftops!"
"My Shot","COMPANY","Whoa!"
"My Shot","LAURENS","Come on!"
"My Shot","COMPANY","Yea"
"My Shot","LAURENS","Come on, let's go!"
"My Shot","LAURENS","Rise up!"
"My Shot","LAURENS","When you're living on your knees, you rise up"
"My Shot","LAURENS","Tell your brother that he's gotta rise up"
"My Shot","LAURENS","Tell your sister that she's gotta rise up"
"My Shot","LAURENS","When are these colonies gonna rise up?"
"My Shot","COMPANY","Whoa! Whoa! Whoa!"
"My Shot","LAURENS","When are these colonies gonna rise up?"
"My Shot","COMPANY","Whoa"
"My Shot","LAURENS","When are these colonies gonna rise up?"
"My Shot","COMPANY","Whoa"
"My Shot","LAURENS","When are these colonies gonna rise up?"
"My Shot","COMPANY","Whoa"
"My Shot","LAURENS","Rise up! "
"My Shot","COMPANY","Rise up!"
"My Shot","HAMILTON","I imagine death so much it feels more like a memory"
"My Shot","HAMILTON","When's it gonna get me?"
"My Shot","HAMILTON","In my sleep? Seven feet ahead of me?"
"My Shot","HAMILTON","If I see it comin', do I run or do I let it be?"
"My Shot","HAMILTON","Is it like a beat without a melody?"
"My Shot","HAMILTON","See, I never thought I'd live past twenty"
"My Shot","HAMILTON","Where I come from some get half as many"
"My Shot","HAMILTON","Ask anybody why we livin' fast and we laugh, reach for a flask"
"My Shot","HAMILTON","We have to make this moment last, that's plenty"
"My Shot","HAMILTON","Scratch that"
"My Shot","HAMILTON","This is not a moment, it's the movement"
"My Shot","HAMILTON","Where all the hungriest brothers with"
"My Shot","HAMILTON","Something to prove went?"
"My Shot","HAMILTON","Foes oppose us, we take an honest stand"
"My Shot","HAMILTON","We roll like Moses, claimin' our promised land"
"My Shot","HAMILTON","And? If we win our independence?"
"My Shot","HAMILTON","Is that a guarantee of freedom for our descendants?"
"My Shot","HAMILTON","Or will the blood we shed begin an endless"
"My Shot","HAMILTON","Cycle of vengeance and death with no defendants?"
"My Shot","HAMILTON","I know the action in the street is excitin'"
"My Shot","HAMILTON","But Jesus, between all the bleedin' 'n fightin'"
"My Shot","HAMILTON","I've been readin' 'n writin'"
"My Shot","HAMILTON","We need to handle our financial situation"
"My Shot","HAMILTON","Are we a nation of states? What's the state of our nation?"
"My Shot","HAMILTON","I'm past patiently waitin'"
"My Shot","HAMILTON","I'm passionately smashin' every expectation"
"My Shot","HAMILTON","Every action's an act of creation!"
"My Shot","HAMILTON","I'm laughin' in the face of casualties and sorrow"
"My Shot","HAMILTON","For the first time, I'm thinkin' past tomorrow"
"My Shot","HAMILTON & COMPANY","And I am not throwing away my shot"
"My Shot","HAMILTON & COMPANY","I am not throwing away my shot"
"My Shot","HAMILTON & COMPANY","Hey yo, I'm just like my country"
"My Shot","HAMILTON & COMPANY","I'm young, scrappy and hungry"
"My Shot","HAMILTON & COMPANY","And I'm not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","We're gonna rise up! Time to take a shot!"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","Not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","We're gonna rise up! Time to take a shot!"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","Not throwing away my shot"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN & ENSEMBLE","We're gonna"
"My Shot","ENSEMBLE","We're gonna"
"My Shot","HAMILTON","Time to take a shot! "
"My Shot","ENSEMBLE","Rise up"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Time to take a shot! "
"My Shot","ENSEMBLE","Rise up"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Time to take a shot! "
"My Shot","ENSEMBLE","Rise up"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Take a shot! Ri- ri- ri-"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Shot!"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Shot!"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","A-yo it's"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Time to take a shot! "
"My Shot","ENSEMBLE","Time to take a shot!"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Time to take a shot! "
"My Shot","ENSEMBLE","Time to take a shot!"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","And I am- "
"My Shot","ENSEMBLE","And I am"
"My Shot","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Not throwin' away my-"
"My Shot","COMPANY","Not throwin' away my shot!"
"The Story of Tonight","HAMILTON","I may not live to see our glory!"
"The Story of Tonight","LAFAYETTE/LAURENS/MULLIGAN","I may not live to see our glory!"
"The Story of Tonight","HAMILTON","But I will gladly join the fight!"
"The Story of Tonight","LAFAYETTE/LAURENS/MULLIGAN","But I will gladly join the fight!"
"The Story of Tonight","HAMILTON","And when our children tell our story..."
"The Story of Tonight","LAFAYETTE/LAURENS/MULLIGAN","And when our children tell our story..."
"The Story of Tonight","HAMILTON","They'll tell the story of tonight"
"The Story of Tonight","MULLIGAN","Let's have another round tonight"
"The Story of Tonight","LAFAYETTE","Let's have another round tonight"
"The Story of Tonight","HAMILTON","Let's have another round tonight"
"The Story of Tonight","LAURENS","Raise a glass to freedom"
"The Story of Tonight","LAURENS","Something they can never take away"
"The Story of Tonight","LAURENS","No matter what they tell you"
"The Story of Tonight","LAURENS","Raise a glass to the four of us"
"The Story of Tonight","LAURENS/MULLIGAN","Tomorrow there'll be more of us"
"The Story of Tonight","LAFAYETTE/LAURENS/MULLIGAN","Telling the story of tonight"
"The Story of Tonight","HAMILTON","They'll tell the story of tonight"
"The Story of Tonight","LAFAYETTE/LAURENS/MULLIGAN","Raise a glass to freedom"
"The Story of Tonight","LAFAYETTE/LAURENS/MULLIGAN","Something they can never take away"
"The Story of Tonight","HAMILTON","No matter what they tell you"
"The Story of Tonight","LAFAYETTE/MULLIGAN","Let's have another round tonight"
"The Story of Tonight","LAURENS","Raise a glass to the four of us"
"The Story of Tonight","HAMILTON/LAFAYETTE/LAURENS/MULLIGAN","Tomorrow there'll be more of us"
"The Story of Tonight","HAMILTON/LAURENS","Telling the story of tonight"
"The Story of Tonight","LAFAYETTE/MULLIGAN","Let's have another round tonight"
"The Story of Tonight","HAMILTON/LAURENS & ENSEMBLE","They'll tell the story of tonight"
"The Story of Tonight","LAFAYETTE/MULLIGAN & ENSEMBLE","Raise a glass to freedom"
"The Story of Tonight","HAMILTON/LAURENS & ENSEMBLE","They'll tell the story of tonight"
"The Story of Tonight","LAFAYETTE/MULLIGAN & ENSEMBLE","Raise a glass to freedom"
"The Story of Tonight","HAMILTON/LAURENS & ENSEMBLE","They'll tell the story of tonight"
"The Story of Tonight","LAFAYETTE/MULLIGAN & ENSEMBLE","They'll tell the story of-"
"The Story of Tonight","FULL ENSEMBLE","Tonight"
"The Schuyler Sisters","BURR","There's nothing rich folks love more"
"The Schuyler Sisters","BURR","Than going downtown and slummin' it with the poor"
"The Schuyler Sisters","BURR","They pull up in their carriages and gawk"
"The Schuyler Sisters","BURR","At the students in the common"
"The Schuyler Sisters","BURR","Just to watch them talk"
"The Schuyler Sisters","BURR","Take Philip Schuyler: the man is loaded"
"The Schuyler Sisters","BURR","Uh-oh, but little does he know that"
"The Schuyler Sisters","BURR","His daughters, Peggy, Angelica, Eliza"
"The Schuyler Sisters","BURR","Sneak into the city just to watch all the guys at-"
"The Schuyler Sisters","COMPANY","Work, work!"
"The Schuyler Sisters","ANGELICA","Angelica!"
"The Schuyler Sisters","COMPANY","Work, work!"
"The Schuyler Sisters","ELIZA","Eliza!"
"The Schuyler Sisters","PEGGY","And Peggy!"
"The Schuyler Sisters","COMPANY","Work, work!"
"The Schuyler Sisters","COMPANY","The Schuyler sisters!"
"The Schuyler Sisters","ANGELICA","Angelica!"
"The Schuyler Sisters","PEGGY","Peggy!"
"The Schuyler Sisters","ELIZA","Eliza!"
"The Schuyler Sisters","COMPANY","Work!"
"The Schuyler Sisters","PEGGY","Daddy said to be home by sundown"
"The Schuyler Sisters","ANGELICA","Daddy doesn't need to know"
"The Schuyler Sisters","PEGGY","Daddy said not to go downtown"
"The Schuyler Sisters","ELIZA","Like I said, you're free to go"
"The Schuyler Sisters","ANGELICA","But-look around, look around, the"
"The Schuyler Sisters","ANGELICA","Revolution's happening in New York"
"The Schuyler Sisters","ELIZA/PEGGY","New York"
"The Schuyler Sisters","COMPANY","Angelica"
"The Schuyler Sisters","ANGELICA/ELIZA/PEGGY & COMPANY","Work!"
"The Schuyler Sisters","PEGGY","It's bad enough daddy wants to go to war"
"The Schuyler Sisters","ELIZA","People shouting in the square"
"The Schuyler Sisters","PEGGY","It's bad enough there'll be violence on our shore"
"The Schuyler Sisters","ANGELICA","New ideas in the air"
"The Schuyler Sisters","ANGELICA & MALE ENSEMBLE","Look around, look around-"
"The Schuyler Sisters","ELIZA","Angelica, remind me what we're looking for..."
"The Schuyler Sisters","MEN","She's lookin' for me!"
"The Schuyler Sisters","ANGELICA","Eliza, I'm lookin' for a mind at work "
"The Schuyler Sisters","COMPANY","work, work"
"The Schuyler Sisters","ANGELICA","I'm lookin' for a mind at work! "
"The Schuyler Sisters","COMPANY","work, work"
"The Schuyler Sisters","ANGELICA","I'm lookin' for a mind at work! "
"The Schuyler Sisters","COMPANY","work, work"
"The Schuyler Sisters","ANGELICA","Whooaaaaa!"
"The Schuyler Sisters","ANGELICA/ELIZA/PEGGY","Whooaaaaa!"
"The Schuyler Sisters","COMPANY","Work!"
"The Schuyler Sisters","BURR","Wooh! There's nothin' like summer in the city"
"The Schuyler Sisters","BURR","Someone in a rush next to someone lookin' pretty"
"The Schuyler Sisters","BURR","Excuse me, miss, I know it's not funny"
"The Schuyler Sisters","BURR","But your perfume smells like your daddy's got money"
"The Schuyler Sisters","BURR","Why you slummin' in the city in your fancy heels"
"The Schuyler Sisters","BURR","You searchin for an urchin who can give you ideals?"
"The Schuyler Sisters","ANGELICA","Burr, you disgust me"
"The Schuyler Sisters","BURR","Ah, so you've discussed me"
"The Schuyler Sisters","BURR","I'm a trust fund, baby, you can trust me!"
"The Schuyler Sisters","ANGELICA","I've been reading Common Sense by Thomas Paine"
"The Schuyler Sisters","ANGELICA","So men say that I'm intense or I'm insane"
"The Schuyler Sisters","ANGELICA","You want a revolution? I want a revelation"
"The Schuyler Sisters","ANGELICA","So listen to my declaration:"
"The Schuyler Sisters","ANGELICA/ELIZA/PEGGY","""We hold these truths to be self-evident"
